id,submitdate,lastpage,startlanguage,seed,DT01_SQ001_,DT01_SQ011_,DT01_SQ002_,DT01_SQ005_,DT01_SQ004_,DT01_SQ003_,DT01_SQ006_,DT01_SQ007_,DT01_SQ008_,DT01_SQ009_,DT01_SQ010_,DT01_other_,DT06_SQ001_,DT06_SQ002_,DT06_SQ003_,DT06_SQ004_,DT06_other_,DT02_SQ001_,DT02_SQ002_,DT02_SQ003_,DT02_SQ006_,DT02_SQ005_,DT02_other_,DT03,DT03_other_,DT04a,DT04b,DT05a,DT05b,DQ01,DQ02,DQ03_SQ001_,DQ03_SQ002_,DQ04,DHRP01,DHRP02_SQ001_,DHRP02_SQ002_,DHRP02_SQ003_,DHRP02_SQ004_,DHRP07_SQ001_,DHRP07_SQ001comment_,DHRP07_SQ002_,DHRP07_SQ002comment_,DHRP07_SQ003_,DHRP07_SQ003comment_,DHRP07_SQ004_,DHRP07_SQ004comment_,DHRP07_SQ005_,DHRP07_SQ005comment_,DHRP07_SQ006_,DHRP07_SQ006comment_,DHRP07_other_,DHRP07_othercomment_,DHRP06_SQ001_,DHRP06_SQ002_,DHRP06_SQ003_,DHRP06_SQ004_,DHRP05_SQ001_,DHRP05_SQ002_,DHRP05_SQ003_,DHRP05_SQ004_,DHRP03a_SQ001_,DHRP03a_SQ002_,DHRP03a_SQ003_,DHRP03b_SQ001_,DHRP03b_SQ002_,DHRP03b_SQ003_,DHRP03c_SQ001_,DHRP03c_SQ002_,DHRP03c_SQ003_,DHRP04_SQ001_,DHRP04_SQ002_,DHRP04_SQ003_,DHRP04_SQ004_,ORDM01,ORDM02_SQ001_,ORDM02_SQ002_,ORDM02_SQ003_,ORDM02_SQ016_,ORDM02_SQ004_,ORDM02_SQ005_,ORDM02_SQ006_,ORDM02_SQ007_,ORDM02_SQ008_,ORDM02_SQ009_,ORDM02_SQ010_,ORDM02_SQ011_,ORDM02_SQ012_,ORDM02_SQ013_,ORDM02_SQ014_,ORDM02_SQ015_,ORDM03,D03,D03_other_,D06,D02_SQ001_,D02_SQ002_,D02_SQ008_,D02_SQ003_,D02_SQ004_,D02_SQ005_,D02_SQ006_,D02_SQ007_,D02_other_
358,1980-01-01T00:00:00Z,5,de,1137448670,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,NA,Yes,No,Yes,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,NA,Yes,NA,1 GB - 9 GB,0 - 99 GB,< 10 GB,100 GB - 999 GB,Fewer than 5 people,1-5,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Tend to disagree,Completely agree,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,"Always, or almost always",Rarely,Rarely,Most of the time,"Always, or almost always",Most of the time,"Never, or almost never",To some extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
360,1980-01-01T00:00:00Z,5,de,2068709159,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,No,No,Yes,NA,Proprietary and open source formats,NA,Yes,Daten aus Industrieprojekten,Yes,"Chemikalien, Sensoren, Algen, Puffer",Up to 99 MB,0 - 99 GB,10 GB - 99 GB,< 10 GB,10-19 people,NA,NA,NA,NA,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Completely disagree,Completely agree,Most of the time,"Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,Sometimes,Sometimes,Most of the time,Rarely,Most of the time,Rarely,"Always, or almost always","Always, or almost always","Always, or almost always",Sometimes,To a large extent,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To a large extent,To a large extent,To a large extent,To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,To a large extent,To a large extent,To a very large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,No,Yes,No,NA
361,1980-01-01T00:00:00Z,5,de,906354270,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,Industrieprojekte,Yes,mit allen möglichen: von Bio über Polymer bis zu Hartmetallen,1 GB - 9 GB,> 5 TB,10 TB - 100 TB,10 TB - 100 TB,5-9 people,6-10,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,Yes,NA,Yes,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Tend to disagree,Completely agree,Sometimes,"Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Never, or almost never",Rarely,"Never, or almost never",To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,Do not know/cannot answer,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,Yes,No,No,No,No,No,No,NA
364,1980-01-01T00:00:00Z,5,de,1467913061,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,Yes,No,Yes,NA,Predominantly open source formats,NA,No,NA,No,NA,100 MB - 999 MB,100 GB - 499 GB,100 GB - 999 GB,10 GB - 99 GB,Fewer than 5 people,6-10,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,NA,NA,Completely agree,Completely agree,Don't know/Cannot answer,Completely agree,Rarely,"Never, or almost never",Sometimes,NA,NA,NA,NA,Sometimes,"Never, or almost never",Sometimes,NA,Sometimes,Sometimes,"Always, or almost always",Sometimes,Most of the time,"Never, or almost never",Do not know/cannot answer,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To a large extent,To little or no extent at all,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,No,No,NA
365,1980-01-01T00:00:00Z,5,de,870106444,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,NA,No,No,No,Yes,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,GIS-Daten,No,NA,1 GB - 9 GB,100 GB - 499 GB,1 TB - 10 TB,10 TB - 100 TB,10-19 people,>20,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to agree,Tend to agree,"Never, or almost never","Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,"Never, or almost never","Never, or almost never","Always, or almost always",Most of the time,Most of the time,"Never, or almost never",To some extent,To a large extent,To a large extent,Do not know/cannot answer,To a large extent,To a large extent,To a large extent,To a very large extent,To a very large extent,Do not know/cannot answer,To a very large extent,To a very large extent,To a large extent,To a large extent,To a large extent,To a large extent,To a large extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,No,Yes,Yes,Yes,No,No,NA
372,1980-01-01T00:00:00Z,5,de,318675693,No,No,Yes,No,No,Yes,No,No,No,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,No,Yes,NA,Proprietary and open source formats,NA,No,NA,No,NA,1 GB - 9 GB,500 GB - 900 GB,100 GB - 999 GB,100 GB - 999 GB,5-9 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Don't know/Cannot answer,Don't know/Cannot answer,Completely agree,Rarely,Most of the time,Most of the time,"Never, or almost never",GitHub,GitLab,NA,"Never, or almost never","Never, or almost never",Most of the time,Sometimes,Sometimes,Sometimes,Rarely,Most of the time,Rarely,Rarely,To little or no extent at all,To a large extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,To a very large extent,To some extent,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To a large extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Computer Science and Biomedical Engineering,No,No,No,Yes,No,Yes,Yes,No,NA
375,1980-01-01T00:00:00Z,5,de,1352116406,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,"audioaufnahmen, Interviews",No,NA,10 GB - 99 GB,500 GB - 900 GB,NA,100 GB - 999 GB,Fewer than 5 people,>20,Rarely,Sometimes,"Never, or almost never","Never, or almost never",No,NA,Yes,Das ist bei Kooperationen natürlich notwendig,No,NA,Yes,"Sprachdatenbanken werden in der Regel erst nach einer vertraglichen Vereinbarung, die u.a. die erlaubte Nutzung regelt weitergegeben.",No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Tend to disagree,Completely agree,Most of the time,Rarely,Rarely,"Never, or almost never",locales Gitlab repository,NA,NA,Rarely,"Never, or almost never",Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Rarely,To some extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To some extent,To a large extent,To little or no extent at all,To a very large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,To a large extent,To little or no extent at all,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,No,No,No,Yes,No,No,No,NA
378,1980-01-01T00:00:00Z,5,de,1067508800,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,Daten von Industrienahen Forschungsprojekten die unter NDA stehen.,No,NA,100 MB - 999 MB,100 GB - 499 GB,10 GB - 99 GB,< 10 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,Yes,Firmen und andere Institute,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Don't know/Cannot answer,Tend to agree,Completely agree,Sometimes,Sometimes,Most of the time,"Never, or almost never",Git Repository des Instituts,TU Cloud,Netzlaufwerke des Instituts,Sometimes,"Never, or almost never",Rarely,Most of the time,"Never, or almost never","Never, or almost never","Always, or almost always",Sometimes,Most of the time,"Never, or almost never",To a large extent,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To a very large extent,To some extent,To a very large extent,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a very large extent,To a very large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
383,1980-01-01T00:00:00Z,5,de,1899800079,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,NA,No,Yes,No,No,NA,No,No,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,"Daten aus Industrieprojekten, die aber zur Publikationszwecken Freigabe erhalten haben und in ein Repository gehören",No,NA,10 GB - 99 GB,1 TB - 5 TB,NA,1 TB - 10 TB,Fewer than 5 people,11-20,"Always, or almost always",Sometimes,"Never, or almost never",Most of the time,Yes,"FW Projekte mpssen offen zugänglich sein, EU Projekte / K Projekte mit Freigabe durch die Partner",No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Completely agree,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",Homepage Institut / persönlich,ArchiveX für Publikationen,"Jede Dissertation, jede Diplomarbeit MUSS eine Datensammlung beinhalten. Auf Festplatte oder neuerdings auf TU Server",Most of the time,Sometimes,"Always, or almost always",Most of the time,Most of the time,Most of the time,"Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never",To some extent,Do not know/cannot answer,To some extent,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,"Dass die TU Graz als europäische Universität zwar open access Publikationen tatkräftigst unterstützt (wie auch der FWF) aber gleichzeitig geforderte Repositorium nicht bereitstellt. 
Unsere Partner in ausländischen Forschungszentren sind sehr erstaunt, dass wir zwar bei Springer Nature open access publizieren können (sehr, sehr fortschrittlich, EU Ziel 2020 - alle öffentlich geförderten Publikationen sollen open access publizierbar sein - bereits heute erreicht) aber mit dieser Publikation kein TU Graz Repositorium verknüpfen können (mittelalterlich).",Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,Yes,No,No,No,No,No,No,NA
386,1980-01-01T00:00:00Z,5,de,1191472739,No,No,No,Yes,No,No,No,No,No,Yes,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,Yes,No,NA,Do not know/Cannot answer,NA,No,NA,Yes,Materialproben,100 GB - 499 GB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,10-19 people,>20,"Never, or almost never",Sometimes,Sometimes,Rarely,Yes,je nach Forschungsauftrag,No,NA,Yes,währenddes Projektes und bei Nachnutzung,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to disagree,Completely agree,"Always, or almost always","Always, or almost always",Sometimes,"Never, or almost never","Datenbanken von anderen Projektpartnern, wenn die das Datenmanagement überhaben",Dropbox o.ä. zum raschen Ausstauch unsensibler Daten,NA,Sometimes,Rarely,Sometimes,"Always, or almost always",Rarely,"Never, or almost never",Most of the time,"Always, or almost always",Sometimes,Sometimes,To a large extent,To some extent,To a large extent,Do not know/cannot answer,To some extent,To some extent,To little or no extent at all,To some extent,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To little or no extent at all,Do not know/cannot answer,To a large extent,To some extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,Yes,No,No,No,No,No,No,NA
388,1980-01-01T00:00:00Z,5,en,1228762968,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,NA,No,Yes,No,No,NA,No,Yes,No,No,Yes,NA,Proprietary and open source formats,NA,Yes,EEG Data,No,NA,> 500 GB,> 5 TB,1 TB - 10 TB,> 100 TB,20-29 people,1-5,Sometimes,"Always, or almost always",Sometimes,"Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Completely disagree,Completely agree,Most of the time,Sometimes,Most of the time,Most of the time,Frontiers,Github,NA,Most of the time,Rarely,"Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always",Sometimes,Most of the time,To some extent,To a large extent,To some extent,To little or no extent at all,To a large extent,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,Yes,No,No,No,No,No,NA
390,1980-01-01T00:00:00Z,5,de,136390981,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,Yes,Yes,Yes,Yes,No,Räumliche Daten,Proprietary and open source formats,NA,Yes,Trajektorien von Personen,No,NA,1 GB - 9 GB,1 TB - 5 TB,1 TB - 10 TB,10 TB - 100 TB,5-9 people,>20,Rarely,"Always, or almost always",Sometimes,Most of the time,Yes,GitHub,Yes,wenn es um projektinterne Daten/Ergebnisse geht,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Don't know/Cannot answer,Completely disagree,Tend to agree,"Never, or almost never",Most of the time,Rarely,Rarely,GitHub,NA,NA,Rarely,Rarely,Sometimes,Most of the time,"Never, or almost never",Most of the time,"Always, or almost always","Never, or almost never","Always, or almost always","Always, or almost always",To little or no extent at all,To a very large extent,To a very large extent,Do not know/cannot answer,Do not know/cannot answer,To a large extent,To little or no extent at all,To a large extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,To a large extent,To little or no extent at all,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,No,Yes,No,No,No,No,No,NA
391,1980-01-01T00:00:00Z,5,de,25768481,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,No,NA,Yes,handelsübliche Chemikalien,1 GB - 9 GB,100 GB - 499 GB,100 GB - 999 GB,1 TB - 10 TB,5-9 people,1-5,"Never, or almost never",Do not know/cannot answer,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,NA,NA,Tend to disagree,Completely disagree,Tend to agree,Tend to agree,"Never, or almost never",Sometimes,"Never, or almost never","Never, or almost never",arXiv,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always",Sometimes,Sometimes,"Never, or almost never",To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,Yes,No,No,No,No,No,No,NA
393,1980-01-01T00:00:00Z,5,en,1145903796,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,No,No,No,No,NA,Yes,No,Yes,No,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,100 MB - 999 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,Yes,Daten werden ausschließlich für interne. zwecke verwendet und unterliegen dem Datenschutz lt. Auftraggeber,No,NA,NA,NA,Completely disagree,Tend to disagree,Don't know/Cannot answer,Tend to agree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never",To a large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To a very large extent,To a very large extent,To a very large extent,To a large extent,To a very large extent,To a large extent,NA,Bachelor's Degree,NA,Civil Engineering Sciences,No,No,No,No,No,No,No,Yes,NA
394,1980-01-01T00:00:00Z,5,en,2061774223,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,No,NA,Proprietary and open source formats,NA,Yes,Auftragsforschung für Industrie / Geheimhaltungsverpflichtung,No,NA,10 GB - 99 GB,100 GB - 499 GB,10 GB - 99 GB,100 GB - 999 GB,10-19 people,6-10,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,Yes,NA,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to disagree,Completely agree,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always","Always, or almost always",Sometimes,To a large extent,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,To a large extent,To a large extent,To a large extent,To a large extent,Do not know/cannot answer,To some extent,To some extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,NA,Doctorate/PhD,NA,Civil Engineering Sciences,No,Yes,No,No,No,No,No,No,NA
396,1980-01-01T00:00:00Z,5,de,1440576313,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,Yes,Yes,NA,Predominantly proprietary formats,NA,Yes,Daten aus Industrieprojekten über deren Produkte,Yes,Prototypen unseres „Produktes“,> 500 GB,> 5 TB,10 TB - 100 TB,1 TB - 10 TB,10-19 people,11-20,Rarely,Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Most of the time,Rarely,"Never, or almost never","Never, or almost never",Svn,NA,NA,"Never, or almost never",Rarely,Rarely,Most of the time,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,"Never, or almost never","Never, or almost never",To a large extent,To little or no extent at all,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To a large extent,To a very large extent,To a large extent,To a large extent,To a large extent,To a large extent,To little or no extent at all,NA,Doctorate/PhD,NA,Electrical and Information Engineering,Yes,No,No,No,No,No,No,No,NA
397,1980-01-01T00:00:00Z,5,en,1583172207,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,NA,No,Yes,No,No,NA,No,Yes,No,Yes,Yes,NA,Predominantly proprietary formats,NA,Yes,Measurement data,No,NA,100 MB - 999 MB,0 - 99 GB,< 10 GB,10 GB - 99 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Completely agree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Most of the time,Most of the time,"Never, or almost never","Never, or almost never",To little or no extent at all,To some extent,To a very large extent,Do not know/cannot answer,To little or no extent at all,To a large extent,To a large extent,To a very large extent,To a very large extent,To a large extent,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To some extent,Do not know/cannot answer,To a very large extent,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,No,No,No,Yes,No,No,No,NA
399,1980-01-01T00:00:00Z,5,en,1353136655,No,No,No,No,No,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,No,No,Yes,NA,Do not know/Cannot answer,NA,Yes,Industry project,No,NA,10 GB - 99 GB,1 TB - 5 TB,NA,1 TB - 10 TB,10-19 people,1-5,Rarely,Most of the time,Most of the time,Rarely,Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Do not know/cannot answer,Sometimes,Sometimes,Sometimes,NCBI,RAST,NA,Sometimes,Do not know/cannot answer,Sometimes,Rarely,Sometimes,Most of the time,"Always, or almost always","Always, or almost always",Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,No,No,No,NA
401,1980-01-01T00:00:00Z,5,de,1671979552,No,No,Yes,No,No,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,Yes,No,No,No,NA,Predominantly proprietary formats,NA,Yes,Forschung an zukünftigen Technologien mit den Industriepartnern - CONFIDENTIAL!!,No,NA,10 GB - 99 GB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,10-19 people,>20,Rarely,Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,CONFIDENTIAL,No,NA,NA,NA,Completely disagree,Tend to agree,Completely disagree,Completely disagree,Rarely,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,"Never, or almost never","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always",NA,NA,To little or no extent at all,To little or no extent at all,To a very large extent,Do not know/cannot answer,To some extent,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,No,Yes,No,No,No,No,No,NA
404,1980-01-01T00:00:00Z,5,en,1384117469,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,Yes,Yes,Yes,NA,Predominantly proprietary formats,NA,Yes,age and gender,No,NA,1 GB - 9 GB,100 GB - 499 GB,100 GB - 999 GB,10 GB - 99 GB,5-9 people,1-5,Rarely,"Always, or almost always",Sometimes,"Never, or almost never",No,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Completely agree,"Always, or almost always",Sometimes,Rarely,"Never, or almost never",OneDrive,GoogleDrive,Dropbox,Rarely,Sometimes,Sometimes,Sometimes,Rarely,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",Rarely,To some extent,To some extent,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To some extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,No,Yes,Yes,No,No,NA
405,1980-01-01T00:00:00Z,5,en,1855433859,No,No,Yes,No,No,No,No,No,Yes,No,Yes,digital 3D objects,Yes,No,No,No,NA,No,No,Yes,Yes,No,NA,Open source formats exclusively,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,NA,< 10 GB,Fewer than 5 people,1-5,Most of the time,Rarely,"Never, or almost never",Rarely,No,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Tend to agree,Completely agree,Sometimes,Sometimes,"Never, or almost never","Never, or almost never",NA,NA,NA,Rarely,Sometimes,Sometimes,Most of the time,Most of the time,"Never, or almost never","Always, or almost always","Always, or almost always",Sometimes,"Never, or almost never",To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,Yes,No,No,No,No,No,NA
