"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"244","1980-01-01 00:00:00","5","de","1758164057","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","","No","No","Yes","No","","Yes","No","No","No","Yes","","Predominantly open source formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people","1-5","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","No","","Yes","Im Allgemeinen werden Informationen (Ergebnisse) aus Daten abgeleitet und weitergegeben. Daten sind wichtige Quellen für Zeitreihenanalysen und werden daher ungern an Dritte weitergegeben.","No","","No","","","","Tend to disagree","Completely disagree","Tend to agree","Completely agree","Never, or almost never","Never, or almost never","Rarely","Rarely","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","To little or no extent at all","To a very large extent","To a large extent","To a very large extent","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To a large extent","To a large extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"245","1980-01-01 00:00:00","5","de","1407823616","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","","Yes","No","No","No","","No","Yes","Yes","Yes","No","","Predominantly open source formats","","Yes","Daten aus Industrieprojekten","No","","100 MB - 999 MB","0 - 99 GB","< 10 GB","< 10 GB","5-9 people","1-5","Always, or almost always","Always, or almost always","Most of the time","Most of the time","No","","Yes","","Yes","","Yes","","No","","No","","","","Tend to disagree","Tend to disagree","Tend to agree","Completely agree","Sometimes","Most of the time","Rarely","Never, or almost never","","","","Rarely","Rarely","Rarely","Always, or almost always","Rarely","Rarely","Most of the time","Most of the time","Never, or almost never","Never, or almost never","","To some extent","To some extent","To some extent","To some extent","To some extent","To a large extent","To some extent","To a large extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","No","No","No","No","Yes","No","No","No",""
"246","1980-01-01 00:00:00","5","de","2073095293","No","No","No","No","Yes","No","No","No","Yes","No","Yes","","No","Yes","No","No","","No","No","No","No","No","","Open source formats exclusively","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","Unsere (sehr geringen Mengen an) Daten sind in Publikationen enthalten","No","","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Tend to agree","Rarely","Most of the time","Most of the time","Never, or almost never","arXiv","","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Never, or almost never","Never, or almost never","Always, or almost always","Most of the time","Rarely","Never, or almost never","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
"247","1980-01-01 00:00:00","5","de","158152861","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","","Yes","Yes","No","No","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","< 10 GB","< 10 GB","5-9 people","1-5","Sometimes","Most of the time","Rarely","Rarely","Yes","Open-source code","No","","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Tend to agree","Completely agree","Do not know/cannot answer","Most of the time","Sometimes","Do not know/cannot answer","Arxiv","Zenodo","GitHub","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Always, or almost always","Sometimes","Do not know/cannot answer","Sometimes","To a large extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To a very large extent","To some extent","To a large extent","To a large extent","To a large extent","To a large extent","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To some extent","","Doctorate/PhD","","Electrical and Information Engineering","No","No","Yes","No","No","No","No","No",""
"249","1980-01-01 00:00:00","5","de","463415206","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","Daten aus Industrieprojekten","No","","100 GB - 499 GB","1 TB - 5 TB","1 TB - 10 TB","10 TB - 100 TB","5-9 people","1-5","Rarely","Never, or almost never","Never, or almost never","Rarely","No","","Yes","","No","","Yes","","No","","No","","","","Tend to disagree","Completely disagree","Completely agree","Tend to disagree","Sometimes","Sometimes","Never, or almost never","Never, or almost never","github","","","Do not know/cannot answer","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Sometimes","Rarely","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","To little or no extent at all","To some extent","To a large extent","Do not know/cannot answer","To a very large extent","To a large extent","To a very large extent","To some extent","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","Yes","No","No","No","No","No","No","No",""
"250","1980-01-01 00:00:00","5","de","363805049","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","No","Yes","","Proprietary and open source formats","","No","","Yes","Gelöste Stoffe","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","100 GB - 999 GB","Fewer than 5 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","Vollständige Weitergabe von Originaldaten und Auswertungen","No","","No","","No","","No","","","","Tend to disagree","Tend to agree","Tend to agree","Tend to disagree","Never, or almost never","Never, or almost never","Sometimes","Sometimes","","","","Rarely","Sometimes","Sometimes","Most of the time","Rarely","Rarely","Always, or almost always","Sometimes","Never, or almost never","Never, or almost never","To some extent","To a very large extent","To a very large extent","Do not know/cannot answer","To some extent","To some extent","To a very large extent","To some extent","To some extent","To some extent","To a large extent","To some extent","To some extent","To some extent","To a large extent","To a large extent","To little or no extent at all","Mangelhafte EDV am Arbeitsplatz, v.a. im Labor. Eigenmittel notwendig für tägliche Arbeit.
Verpflichtung zu Windows 10. Das lässt sich auf vielen Messrechner nicht realisieren. Datenaustausch wieder bei Diskette angelangt. Danke!
Eigene Netzlösungen parallel zum TU Graz-Netz erforderlich, ohne Unterstützung.
Netzwerknutzung bei der täglichen Arbeit rückläufig! War vor 20 Jahren schon mal besser!","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","Yes","No","No","No","No","No","No",""
"251","1980-01-01 00:00:00","5","de","1372272385","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes","","No","Yes","Yes","No","","Yes","Yes","No","Yes","Yes","","Do not know/Cannot answer","","Yes","experimentelle Daten","Yes","chemische Verbindungen","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people",">20","Never, or almost never","Sometimes","Do not know/cannot answer","Never, or almost never","Yes","Publikationen, Patente","No","","No","","No","","No","","No","","","","Don't know/Cannot answer","Completely agree","Completely disagree","Completely agree","Never, or almost never","Never, or almost never","Always, or almost always","Never, or almost never","","","","Never, or almost never","Never, or almost never","Most of the time","Sometimes","Most of the time","","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To little or no extent at all","To little or no extent at all","To a large extent","Do not know/cannot answer","To little or no extent at all","To a large extent","To little or no extent at all","Do not know/cannot answer","To some extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","Do not know/cannot answer","Do not know/cannot answer","To some extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","Yes","No","No","No","No","No","No","No",""
"252","1980-01-01 00:00:00","5","de","123027280","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","","Yes","No","Yes","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","No","","No","","1 GB - 9 GB","500 GB - 900 GB","1 TB - 10 TB","1 TB - 10 TB","5-9 people","6-10","Rarely","Never, or almost never","Sometimes","Never, or almost never","No","","No","","Yes","","No","","No","","No","","","","Tend to agree","Tend to agree","Completely disagree","Completely agree","Sometimes","Sometimes","Rarely","Never, or almost never","TU Cloud","bigmail.tugraz.at","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Most of the time","Sometimes","Rarely","To little or no extent at all","To some extent","To a large extent","To a very large extent","To a large extent","To some extent","To some extent","To some extent","To a large extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To a very large extent","To a large extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","Yes","Yes","No",""
"253","1980-01-01 00:00:00","5","de","1004393842","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","No","No","Yes","No","","Proprietary and open source formats","","Yes","Hintergrundinformationen zu Fertigungsprozessen, Rezepten für Materialmixtur, Fördermengen und Emissionsintensität der Produktion, etc.","No","","1 GB - 9 GB","100 GB - 499 GB","100 GB - 999 GB","10 GB - 99 GB","5-9 people","6-10","Rarely","Never, or almost never","Rarely","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Completely agree","Rarely","Rarely","Sometimes","Rarely","","","","Never, or almost never","Never, or almost never","Sometimes","Sometimes","Most of the time","Most of the time","Never, or almost never","Always, or almost always","Always, or almost always","Most of the time","To a large extent","To some extent","To a large extent","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","To a large extent","To a large extent","To a large extent","To some extent","To a very large extent","To a large extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Civil Engineering Sciences","No","No","No","Yes","No","Yes","Yes","No",""
"254","1980-01-01 00:00:00","5","de","1347215909","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","Yes","No","","Proprietary and open source formats","","No","","No","","10 GB - 99 GB","0 - 99 GB","10 GB - 99 GB","< 10 GB","5-9 people","","","","","","No","","No","","No","","No","","Yes","","No","","","","Tend to agree","Completely disagree","Tend to agree","Completely disagree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never","","To some extent","To little or no extent at all","To little or no extent at all","","To a large extent","To a very large extent","To a very large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a very large extent","To a very large extent","To a very large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Civil Engineering Sciences","No","No","No","No","No","No","Yes","No",""
"255","1980-01-01 00:00:00","5","de","173999182","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","Messdaten von Prototypen","Yes","Prototypen","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","100 GB - 999 GB","Fewer than 5 people","6-10","Rarely","Never, or almost never","Rarely","Rarely","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to disagree","Tend to agree","Most of the time","Never, or almost never","Never, or almost never","Rarely","","","","Sometimes","Rarely","Rarely","Most of the time","Never, or almost never","Never, or almost never","Rarely","Always, or almost always","Never, or almost never","Never, or almost never","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","","Doctorate/PhD","","Electrical and Information Engineering","No","No","Yes","No","No","No","No","No",""
"256","1980-01-01 00:00:00","5","de","1804067246","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","No","","Predominantly open source formats","","Yes","CAD (Geometrie) Daten, Prozessbedingungen und Prozessbeschreibungen, streng vertrauliche Geschäftsdaten (Konzepte, Ideen)","Yes","""geheimen"" Zwischenprodukte aus einer Produktion","1 GB - 9 GB","100 GB - 499 GB","1 TB - 10 TB","100 GB - 999 GB","5-9 people","6-10","Never, or almost never","Rarely","Never, or almost never","Sometimes","Yes","das betrifft nur Teile von Quellcode, den wir als nicht IP-kritisch erachten","Yes","das betrifft hauptsächlich Simulationsergebnisse, sowie vereinbarten Quellcode","Yes","jeder nicht-öffentliche Datenaustausch wird bei uns passwortgeschützt","No","","No","","No","","","","Tend to agree","Tend to agree","Completely agree","Completely agree","Always, or almost always","Sometimes","Sometimes","Never, or almost never","cloud.tugraz.at","github","","Never, or almost never","Most of the time","Never, or almost never","","","","Most of the time","Always, or almost always","Always, or almost always","Never, or almost never","To some extent","Do not know/cannot answer","To a large extent","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To little or no extent at all","Do not know/cannot answer","To a large extent","To a large extent","To a large extent","To a large extent","To some extent","To a very large extent","To a large extent","To a large extent","To little or no extent at all","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","Yes","No","No","No","No","No","No",""
"257","1980-01-01 00:00:00","5","de","1873707292","No","Yes","No","No","No","No","No","No","Yes","Yes","No","","No","Yes","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","CAD, Messdaten","Yes","Materialproben, Prototypen, Serienbauteile","10 GB - 99 GB","100 GB - 499 GB","100 GB - 999 GB","10 GB - 99 GB","20-29 people",">20","Never, or almost never","Most of the time","Never, or almost never","Never, or almost never","No","","Yes","Welche Daten an die Kooperationspartner weitergegeben werden wird meistens zu Beginn eines Projekts festgelegt","No","","No","","No","","No","","","","Tend to agree","Completely disagree","Don't know/Cannot answer","Completely agree","Most of the time","Never, or almost never","Sometimes","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Most of the time","Never, or almost never","To little or no extent at all","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To some extent","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To a large extent","Do not know/cannot answer","To a large extent","Do not know/cannot answer","To a large extent","To some extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","No","No","Projektassistent"
"258","1980-01-01 00:00:00","5","de","1625299350","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","No","Yes","Yes","Yes","Yes","","Predominantly open source formats","","No","","Yes","Proteine, DNA ","> 500 GB","500 GB - 900 GB","< 10 GB","100 GB - 999 GB","5-9 people","6-10","Always, or almost always","Rarely","Rarely","Sometimes","Yes","Code wird mit Publikation veröffentlicht, Herstellung von Material (z.B. Protein) wird beschrieben ","No","","No","","No","","No","","No","","","","Completely agree","Completely agree","Completely disagree","Completely agree","Never, or almost never","Most of the time","Always, or almost always","Never, or almost never","GitHub","BioarXiv","","Never, or almost never","Always, or almost always","Sometimes","Most of the time","Sometimes","Sometimes","Always, or almost always","Most of the time","Never, or almost never","Most of the time","To little or no extent at all","To some extent","To some extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","To a very large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To little or no extent at all","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","Yes","No","No","No","No","No",""
"259","1980-01-01 00:00:00","5","de","1967674111","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","","No","No","No","Yes","","No","Yes","Yes","Yes","Yes","","Proprietary and open source formats","","Yes","Daten aus Industrieprojekten","Yes","Materialproben","Up to 99 MB","> 5 TB","10 TB - 100 TB","1 TB - 10 TB","30 or more people","6-10","Never, or almost never","Sometimes","Most of the time","Never, or almost never","No","","Yes","","Yes","","No","","No","","No","","","","Tend to agree","Don't know/Cannot answer","Tend to agree","Completely agree","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Rarely","Rarely","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always","Rarely","To a very large extent","To little or no extent at all","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a very large extent","To a very large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a very large extent","To a large extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","Yes","Yes","No",""
"260","1980-01-01 00:00:00","5","de","1446307716","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","","No","No","No","No","Unklar was mit ""erheben"" gemeint ist.Wir generieren im wesentlichen Messdaten fuer die wissenschaftliche Bewertung, zur Dokumentation, Veröffentlichung und auch zur kommerziellen Verwendung bei Firmenpartnern","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","Informationen über Produkte der Firma, Messdaten aus Firmenkontext","Yes","Prototypenentwicklung, die u.a. mit Sensoren Umgebungsphaenomaene erfassen, hier werden auch Proben eingesetzt (z.B. Pollen bei einem Luftguetemesssystem)","1 GB - 9 GB","100 GB - 499 GB","100 GB - 999 GB","10 GB - 99 GB","30 or more people",">20","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","No","","Yes","Code und Daten an Firmenpartner (dürfen nicht öffentlich bekannt werden)","Yes","Im Rahmen von grundlagenorientierten Projekten ohne Firmenbeteiligung","No","","No","","","","Tend to agree","Completely disagree","Completely agree","Tend to agree","Never, or almost never","Sometimes","Rarely","Rarely","arXiv","","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Sometimes","Rarely","Always, or almost always","Most of the time","Never, or almost never","Never, or almost never","To little or no extent at all","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To some extent","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","Yes","No","No","No","No","No","No","No",""
"264","1980-01-01 00:00:00","5","de","663116423","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","","Yes","No","No","No","","Yes","Yes","No","No","Yes","","Proprietary and open source formats","","Yes","Zustandsdaten von kritischen Infrastrukturanlagen","No","","1 GB - 9 GB","> 5 TB","10 TB - 100 TB","1 TB - 10 TB","10-19 people",">20","Most of the time","Always, or almost always","Most of the time","Sometimes","No","","Yes","","Yes","","No","","No","","No","","","","Tend to agree","Tend to disagree","Completely disagree","Don't know/Cannot answer","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","","","","Sometimes","Most of the time","Most of the time","Most of the time","Most of the time","Sometimes","Always, or almost always","Always, or almost always","Sometimes","Never, or almost never","To some extent","To little or no extent at all","To a very large extent","To some extent","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a very large extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","Yes","No","No","No","No","No","No","No",""
"265","1980-01-01 00:00:00","5","de","2112120950","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","","No","No","No","Yes","","No","Yes","Yes","No","Yes","","Do not know/Cannot answer","","Yes","Know-How der Industriepartner, Altschutzrechte","Yes","Materialproben, großmaßstäbliche Versuchskörper (Bauteile, Tragstrukturen)","10 GB - 99 GB","1 TB - 5 TB","1 TB - 10 TB","100 GB - 999 GB","5-9 people","11-20","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Completely agree","Completely disagree","Tend to agree","Never, or almost never","","Sometimes","","","","","Never, or almost never","Never, or almost never","Sometimes","Always, or almost always","","","Always, or almost always","Sometimes","Rarely","Never, or almost never","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","","Doctorate/PhD","","Civil Engineering Sciences","Yes","No","No","No","No","No","No","No",""
"266","1980-01-01 00:00:00","5","de","2030633783","No","Yes","No","No","Yes","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","Yes","No","","Do not know/Cannot answer","","No","","No","","1 GB - 9 GB","1 TB - 5 TB","10 GB - 99 GB","10 GB - 99 GB","5-9 people","11-20","Never, or almost never","Do not know/cannot answer","Never, or almost never","Never, or almost never","No","","No","","No","","No","","Yes","","No","","","","Tend to disagree","Tend to disagree","Completely agree","Tend to disagree","Sometimes","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","","Doctorate/PhD","","Electrical and Information Engineering","Yes","No","No","No","No","No","No","No",""
"268","1980-01-01 00:00:00","5","de","68704964","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","No","","Predominantly open source formats","","Yes","Daten von industriellen Partner","No","","Up to 99 MB","100 GB - 499 GB","< 10 GB","100 GB - 999 GB","10-19 people",">20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","No","","Yes","Die meisten Daten sind offen aber nicht öffentlich zugänglich","No","","No","","","","Completely agree","Completely agree","Completely disagree","Completely agree","Most of the time","Sometimes","Sometimes","Never, or almost never","GitHub","Dropbox oder ähnliches","","Never, or almost never","Never, or almost never","Sometimes","Most of the time","Sometimes","Never, or almost never","Always, or almost always","Always, or almost always","Sometimes","Most of the time","To some extent","To little or no extent at all","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","","Doctorate/PhD","","Computer Science and Biomedical Engineering","Yes","No","No","No","No","No","No","No",""
"269","1980-01-01 00:00:00","5","de","59053101","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","Yes","","Predominantly open source formats","","Yes","Industrielle Messdaten/Produktionsdaten","No","","10 GB - 99 GB","1 TB - 5 TB","100 GB - 999 GB","1 TB - 10 TB","5-9 people","11-20","Most of the time","Sometimes","Sometimes","Rarely","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Completely agree","Most of the time","Sometimes","Sometimes","Never, or almost never","Github","Nextcloud","Google Docs","Sometimes","Most of the time","Most of the time","Sometimes","Most of the time","Sometimes","Always, or almost always","Sometimes","Always, or almost always","Sometimes","To some extent","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","Yes","No","No","No","No","No","No","No",""
"270","1980-01-01 00:00:00","5","de","1032622155","No","No","No","No","Yes","No","No","Yes","No","No","Yes","","No","Yes","No","No","","No","Yes","No","No","No","","Proprietary and open source formats","","No","","Yes","biologische Proben aus Mikroorganismen","10 GB - 99 GB","500 GB - 900 GB","10 GB - 99 GB","100 GB - 999 GB","5-9 people","6-10","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Completely agree","Completely disagree","Tend to agree","Never, or almost never","Most of the time","Always, or almost always","Sometimes","PDB","","","Never, or almost never","Never, or almost never","Most of the time","Most of the time","Most of the time","Sometimes","Always, or almost always","Always, or almost always","Rarely","Never, or almost never","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To a large extent","To a very large extent","To a large extent","To a large extent","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To a large extent","To a large extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","Yes","No","No","No","No","No",""
